"Tags","URLS","Description"
"NUM_R2_TRANSCRIPT_STRAND_READS","NA","The fraction of reads that support the model where R2 is on the strand of transcription and R1 is on the opposite strand."
"NUM_UNEXPLAINED_READS","NA","The fraction of reads for which the transcription strand model could not be inferred."
"PCT_CODING_BASES","NA","Fraction of PF_ALIGNED_BASES that mapped to protein coding regions of genes, CODING_BASES/PF_ALIGNED_BASES"
"PCT_CORRECT_STRAND_READS","NA","Fraction of reads corresponding to mRNA transcripts which map to the correct strand of a reference genome = CORRECT_STRAND_READS/(CORRECT_STRAND_READS + INCORRECT_STRAND_READS). 0 if library is not strand-specific."
"PCT_INTERGENIC_BASES","NA","Fraction of PF_ALIGNED_BASES that mapped to intergenic regions of genomic DNA, INTERGENIC_BASES/PF_ALIGNED_BASES"
"PCT_INTRONIC_BASES","NA","Fraction of PF_ALIGNED_BASES that correspond to gene introns, INTRONIC_BASES/PF_ALIGNED_BASES"
"PCT_MRNA_BASES","NA","Sum of bases mapped to regions corresponding to UTRs and coding regions of mRNA transcripts, PCT_UTR_BASES + PCT_CODING_BASES"
"PCT_R1_TRANSCRIPT_STRAND_READS","NA","The fraction of reads that support the model where R1 is on the strand of transcription and R2 is on the opposite strand. For unpaired reads, it is the fraction of reads that are on the transcription strand (out of all the reads)."
"PCT_R2_TRANSCRIPT_STRAND_READS","NA","The fraction of reads that support the model where R2 is on the strand of transcription and R1 is on the opposite strand. For unpaired reads, it is the fraction of reads that are on opposite strand than that of the the transcription strand (out of all the reads)."
"PCT_RIBOSOMAL_BASES","NA","Fraction of PF_ALIGNED_BASES that mapped to regions encoding ribosomal RNA, RIBOSOMAL_BASES/PF_ALIGNED_BASES"
"PCT_USABLE_BASES","NA","The fraction of bases mapping to mRNA divided by the total number of PF bases, (CODING_BASES + UTR_BASES)/PF_BASES."
"PCT_UTR_BASES","NA","Fraction of PF_ALIGNED_BASES that mapped to untranslated regions (UTR) of genes, UTR_BASES/PF_ALIGNED_BASES"
"PF_ALIGNED_BASES","NA","The total number of aligned PF bases. Non-primary alignments are not counted. Bases in aligned reads that do not correspond to reference (e.g. soft clips, insertions) are not counted."
"PF_BASES","NA","The total number of PF bases including non-aligned reads."
"RIBOSOMAL_BASES","NA","Number of bases in primary alignments that align to ribosomal sequence."
"UTR_BASES","NA","Number of bases in primary alignments that align to a UTR base for some gene, and not a coding base."
"Gene_ExonCounts","https://rockefelleruniversity.github.io/RU_RNAseq/presentations/slides/RU_RNAseq_p1.html#28","The total number of reads that overlap with exons for a given gene."
"Genebody_Counts","https://rockefelleruniversity.github.io/RU_RNAseq/presentations/slides/RU_RNAseq_p1.html#28","The total number of reads that overlap with any part of a transcript for given gene. This will start at the first transcription start site of any gene isoform and end at the last transcription end site."
"Transcripts_Per_Million","https://rockefelleruniversity.github.io/RU_RNAseq/presentations/slides/RU_RNAseq_p2.html#44","The number of reads for a given gene is divided by the length of each gene in kilobases (RPK - reads per kilobase), and this number is then divided by the 'per million' scaling factor, which is the sum of all the RPK valeus for a sample divided by 1,000,000."
